Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Cornwall,O3,2020,March,21.916666666666668,28.270833333333332,32.625,31.641963109354414,33.770833333333336,40.08695652173913
Cornwall,O3,2020,April,24.625,31.020833333333332,33.42663043478261,33.13150527009223,36.15625,39.75
Cornwall,O3,2020,May,20.695652173913043,27.916666666666668,29.91304347826087,32.03386347951565,35.125,47.75
Cornwall,O3,2020,June,21.75,26.67391304347826,31.395833333333336,30.503293807641633,33.510416666666664,39.291666666666664
Cornwall,PM25,2017-2019,January,1.75,3.75,6.270833333333334,7.456881598793363,9.6875,19.85
Cornwall,PM25,2017-2019,February,2.3333333333333335,4.260416666666667,6.291666666666666,8.01848575242454,9.479166666666666,25.523809523809526
Cornwall,PM25,2017-2019,March,0.9166666666666666,3.875,4.833333333333334,6.044444444444444,7.90625,16.041666666666668
Cornwall,PM25,2017-2019,April,0.20833333333333334,3.229166666666667,4.125,4.853708405212164,5.8125,17.5
Cornwall,PM25,2017-2019,May,0.6666666666666666,3.5,4.75,5.014108476064997,6.157894736842105,13.708333333333334
Cornwall,PM25,2017-2019,June,1.625,3.604166666666667,4.666666666666667,5.321025733525733,6.770833333333334,13.291666666666666
Cornwall,PM25,2020,January,2.0833333333333335,3.958333333333333,4.875,7.425724637681159,9.083333333333332,23.791666666666668
Cornwall,PM25,2020,February,3.4166666666666665,4.583333333333333,5.958333333333334,7.510416666666667,8.645833333333334,18.833333333333332
