"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"240","Burlington","O3","2020","December",23,19.9166666666667,0.3963,NA
"241","Burlington","PM25","2017-2019","January",68,7.25,0.3674,0.3564
"242","Burlington","PM25","2017-2019","February",60,7.16757246376812,0.4791,0.5137
"243","Burlington","PM25","2017-2019","March",66,5.02083333333333,0.0343,0.0124
"244","Burlington","PM25","2017-2019","April",63,5.04166666666667,0.5425,0.5532
"245","Burlington","PM25","2017-2019","May",69,5.625,0.0044,0.01
"246","Burlington","PM25","2017-2019","June",63,6.04166666666667,0.1266,0.094
"247","Burlington","PM25","2017-2019","July",66,7.8125,0.9924,NA
"248","Burlington","PM25","2017-2019","August",68,7.02083333333333,0.1939,NA
"249","Burlington","PM25","2017-2019","September",62,5.77083333333333,0,NA
"250","Burlington","PM25","2017-2019","October",68,4.47916666666667,0.3908,NA
"251","Burlington","PM25","2017-2019","November",65,6.45833333333333,0.5762,NA
"252","Burlington","PM25","2017-2019","December",64,7.39583333333333,0.2315,NA
"253","Burlington","PM25","2020","January",23,4.79166666666667,0.0647,0.0598
"254","Burlington","PM25","2020","February",20,4.75,0.065,0.0638
"255","Burlington","PM25","2020","March",22,5.33333333333333,0.7998,0.809
"256","Burlington","PM25","2020","April",22,4.97916666666667,0.9388,0.9334
"257","Burlington","PM25","2020","May",21,5.04166666666667,0.6508,0.6468
"258","Burlington","PM25","2020","June",22,7.52083333333333,0.1724,0.1761
"259","Burlington","PM25","2020","July",23,6.58333333333333,0.4464,NA
"260","Burlington","PM25","2020","August",21,4.625,0.0344,NA
"261","Burlington","PM25","2020","September",22,4.89583333333333,0.3536,NA
"262","Burlington","PM25","2020","October",22,4.08333333333333,0.4283,NA
"263","Burlington","PM25","2020","November",21,7.08333333333333,0.5707,NA
"264","Burlington","PM25","2020","December",23,6.875,0.7783,NA
"265","Burlington","NO2","2017-2019","January",68,11.1020833333333,0.6969,0.6423
"266","Burlington","NO2","2017-2019","February",60,10.5854166666667,0.3389,0.2712
"267","Burlington","NO2","2017-2019","March",66,8.96041666666667,0.0126,0.0156
"268","Burlington","NO2","2017-2019","April",63,7.95384615384615,0.0306,0.022
"269","Burlington","NO2","2017-2019","May",69,8.96666666666667,0.2305,0.2403
"270","Burlington","NO2","2017-2019","June",63,8.58333333333333,0.2159,0.2166
"271","Burlington","NO2","2017-2019","July",66,9.0675,0.6865,NA
"272","Burlington","NO2","2017-2019","August",68,8.74791666666667,0.9322,NA
"273","Burlington","NO2","2017-2019","September",62,9.975,0.0221,NA
"274","Burlington","NO2","2017-2019","October",68,10.5833333333333,0.1981,NA
"275","Burlington","NO2","2017-2019","November",65,11.7958333333333,0.0545,NA
"276","Burlington","NO2","2017-2019","December",64,12.63125,0.8578,NA
"277","Burlington","NO2","2020","January",23,10.6833333333333,0.7343,0.7353
"278","Burlington","NO2","2020","February",20,9.79791666666667,0.5818,0.5839
"279","Burlington","NO2","2020","March",22,9.12916666666667,0.8839,0.8836
"280","Burlington","NO2","2020","April",22,5.81041666666667,0.0823,0.0813
"281","Burlington","NO2","2020","May",21,6.85416666666667,0.0472,0.043
